rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
25,Gina Mastantuono,1.3,1107,24,1134,Teacher,Motherhood / Family,Thought Leadership,Hook -> Insight -> Question,What is my north star? What is my purpose?,"What is my north star? What is my purpose?    Every year, I tackle these questions. I write down what’s important to me, my reason for being, and my m","What is my north star? What is my purpose?  

Every year, I tackle these questions. I write down what’s important to me, my reason for being, and my motivation grounded in my values. This personal check-in recenters my focus. 

It helps me be fully present, like last week with my family. I cherish moments like this when we can be together.... especially amid the juggle of busy scheduling! 

I’ve found that when you have your heart in your purpose, you can make decisions quickly and identify the things that matter. This is why purpose is so important. 

All this helps me achieve my north star and stay true to who I am. Plus, it fires me up for the year ahead. 

In 2025, I’m dreaming BIG and bringing bold energy everywhere I go in the pursuit of excellence. I’m ready for it! Are you? 

#ServiceNow #NewYear ServiceNow",https://www.linkedin.com/posts/gina-mastantuono_servicenow-newyear-activity-7280601831687274497-Q-PH?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC0JzDIBL1NztyGLeDkT5vdSluBYkXmJ-jI
26,Gina Mastantuono,1.3,1056,52,1109,Teacher,Women in Leadership,Thought Leadership,Hook -> Insight -> Question,Strength training has shaped how I show up as a leader more than people might expect. Anyone who works with me at ServiceNow knows I'm big on health and fitness—you can't sustain high performance while running on fumes.,Strength training has shaped how I show up as a leader more than people might expect. Anyone who works with me at ServiceNow knows I'm big on health a,"Strength training has shaped how I show up as a leader more than people might expect. Anyone who works with me at ServiceNow knows I'm big on health and fitness—you can't sustain high performance while running on fumes. 

Beyond the physical benefits, it’s had a profound mental impact on how I show up, especially as a woman in leadership.

Women have long been taught to shrink themselves. That often shows up as subtle pressure to be agreeable before being bold, to soften their point of view, or to avoid “coming on too strong.”

I felt that pressure earlier in my career. Strength training has been a powerful counterbalance to that for me.

What started as something I incorporated into my fitness routine for the health benefits—research on strength training for women, especially women in their 40s and 50s, is hard to ignore—has become something much more.

I love lifting weights. It’s done a lot for my confidence and my presence, especially as I spend more time on stage and in rooms where presence really matters.

There’s something deeply grounding about building physical strength and carrying that same energy into the boardroom. 

The confidence I bring into work starts in the gym—and that confidence shapes how I lead.

What personal practices have had the biggest impact on how you lead day to day?",https://www.linkedin.com/posts/gina-mastantuono_strength-training-has-shaped-how-i-show-up-activity-7426649812147703808-M57r?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC-QBDUB6YMSYpP1cAeIUEedbDaoGqOYyWg
27,Gina Mastantuono,1.3,1039,15,1071,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,ServiceNow has arrived in West Palm Beach!,"ServiceNow has arrived in West Palm Beach!  Yesterday, we opened our new regional hub and AI Institute, important milestones in expanding ServiceNow’s","ServiceNow has arrived in West Palm Beach!

Yesterday, we opened our new regional hub and AI Institute, important milestones in expanding ServiceNow’s U.S. footprint and fueling our innovation engine.

This is a strategic investment in one of the country’s fastest-growing business communities. Together with the state of Florida, Related Ross, and local leaders, we’re building a destination for enterprise technology that connects startups, customers, partners, and talent to shape the future of AI.

Alongside universities, public agencies, and private enterprises, we’re working to close the talent gap, expand access to opportunity, and equip organizations to lead in the age of AI. The momentum is real! Our first RiseUp with ServiceNow cohort is underway, providing the workforce with in-demand digital skills and opening new career pathways.

This is how ServiceNow turns vision into reality—by investing in people, places, and partnerships. West Palm Beach isn’t just another dot on the map; it’s a new center of possibility for our employees, customers, and community.

Learn more here: https://lnkd.in/giXvNvHw",https://www.linkedin.com/posts/gina-mastantuono_servicenow-has-arrived-in-west-palm-beach-activity-7374158079803904000-skKC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2B0LQBaIdhq7aEqP3FkN299X9A2ZAcLmE
28,Gina Mastantuono,1.2,1023,21,1051,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,"Mental health IS health—as Mental Health Awareness Month comes to a close, let’s all agree to prioritize our health year-round.","Mental health IS health—as Mental Health Awareness Month comes to a close, let’s all agree to prioritize our health year-round.  This past weekend, I ","Mental health IS health—as Mental Health Awareness Month comes to a close, let’s all agree to prioritize our health year-round.

This past weekend, I hit pause and spent time with a few of my gal pals. Laughter, wellness, gratitude, and zero work agendas—exactly what we needed. It’s not just feel-good fluff, the science backs it up—strong social connections improve mental health, reduce stress, and help us show up stronger everywhere.

My colleague and friend Jacqui Canney recently posted about how important it is that we show up for each other. The world isn’t slowing down and as Jacqui says, “we're experiencing massive transformation as AI reshapes how we live and work,” making it even more important to stay grounded, connected, and, on occasion, to unplug in order to recharge.

Consider this my PSA to you: your calendar doesn’t need to be full of meetings to be valuable. Sometimes the most important ROI comes from investing in yourself and the people closest to you—the ones who fill your cup, not just your inbox.

Let’s keep supporting each other, prioritizing wellness, and building the kind of community that lifts us all. Be kind to your mind—and don’t forget to laugh loudly, rest well, and check in with your people. 💓 

In case you missed it, 👉 read Jacqui’s post here: https://lnkd.in/eVu4ECQ3",https://www.linkedin.com/posts/gina-mastantuono_mental-health-is-healthas-mental-health-activity-7333898364981309440-3ypB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_zUH4BqBNtDG2Tido_zWQLNa9WQ1N85kU
29,Gina Mastantuono,1.2,968,43,1021,Teacher,AI / Tech,Thought Leadership,Hook -> List -> Insight,"The modern CFO is no longer just a financial steward—we’re enterprise leaders shaping strategy, innovation, and growth.","The modern CFO is no longer just a financial steward—we’re enterprise leaders shaping strategy, innovation, and growth.   I had an incredible experien","The modern CFO is no longer just a financial steward—we’re enterprise leaders shaping strategy, innovation, and growth. 

I had an incredible experience at the Fortune Most Powerful Women Conference, where I joined the ""Meet the Modern CFO"" panel hosted by Sheryl Estrada, and also got to hear from leaders like Jamie Dimon.

Here are a few key takeaways I shared:

1. The CFO's seat is at the strategy table. 

Finance is inseparable from strategy. The modern CFO doesn't just report results—we look around corners, anticipate what’s next, and create the conditions for growth.

My current role as both CFO and President reflects that, bringing Finance and Strategy together under one roof. 

2. AI is augmenting work and accelerating growth. 

AI is becoming a key partner at work—and I'm proud that at ServiceNow, we're walking the talk. AI is embedded in how we work. Our incredible Chief People and AI Enablement Officer, Jacqui Canney, spoke about this in her roundtable discussion on The New Leadership Playbook.

One example: our sellers have cut meeting prep by 50%, giving them more time to spend with customers. We've proven the ROI of AI internally—$355M in annualized value created through productivity gains, much of which we've reinvested back into the business leading to $100M in projected cost savings this year. That's durable impact, not hype. 

3. Curiosity is the ultimate leadership edge. 

As the first in my family to go to college, and often the only woman in the room, I learned early the power of curiosity and courage. Every time I’ve gotten too comfortable, I’ve taken a leap. That mindset has kept me learning, growing, and leading with curiosity. 

I strongly believe that the next generation of leaders will not be defined by the depth of their knowledge, but by the breadth of what they can learn and how they inspire others to grow with them.

Thank you, Fortune, Sheryl Estrada, and my fellow panelists, Yanela Frias and Ellie Mertz, for the opportunity to be part of this powerful conversation with such an extraordinary group of leaders! #FortuneMPW",https://www.linkedin.com/posts/gina-mastantuono_fortunempw-activity-7384300692204785664-GylW?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2B0LQBaIdhq7aEqP3FkN299X9A2ZAcLmE
30,Gina Mastantuono,1.2,939,44,997,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,Wow.,"Wow.    For the third year running, ServiceNow has achieved a top ranking on the All-America Executive Team by Extel, formerly Institutional Investor ","Wow.  

For the third year running, ServiceNow has achieved a top ranking on the All-America Executive Team by Extel, formerly Institutional Investor Research. This comes on top of the momentum of new stock and market cap highs! 

I’m incredibly humbled by the sell-side analysts for ranking us first in the Software category for Best CEO, Best CFO, Best IR Professional, Best IR Team, Best Investor Day, Best IR Program, and Best Company Board. Plus, we achieved first in the new TMT X-Large Cap category's buy-side rankings! 

Massive shoutout to the world-class team that’s the best in the business: Bill McDermott, Darren Y., Alexander Yuan, and Andrew Libert.

I always say I’m in my dream job because ServiceNow is the dream team. 

2025, here we come!  

Read more: https://lnkd.in/g7en7Fzj  
 
 #AllAmericaExecutiveTeam",https://www.linkedin.com/posts/gina-mastantuono_allamericaexecutiveteam-activity-7264656466207223810-E0Li?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC0JzDIBL1NztyGLeDkT5vdSluBYkXmJ-jI
31,Gina Mastantuono,1.1,915,6,922,Teacher,Motherhood / Family,Thought Leadership,Hook -> Insight -> Close,Back to where it all began... in San Diego.,"Back to where it all began... in San Diego.     Here, the ServiceNow energy is palpable.     This is where Fred Luddy founded a company that has funda","Back to where it all began... in San Diego.  
 
Here, the ServiceNow energy is palpable.  
 
This is where Fred Luddy founded a company that has fundamentally transformed the way we work. 
 
While a lot has changed in 20 years, our innovation, customer-obsession, world-class culture, and commitment to make the world work better for everyone have not.  
 
It was especially apparent in San Diego last week. 
 
Grateful to spend quality time with Pat Casey, Joe Davis, and Loretta Nelson to understand how RaptorDB will enable our customers to scale incrementally, using ServiceNow as a processing engine. Thank you for hosting me and sharing your platform knowledge and expertise – our future is incredibly bright.
 
Plus, shoutout to the home brewers who turned out to the legendary San Diego Home Brew contest… I can’t wait to get back here! 
 
#SanDiego #ServiceNow #Grateful",https://www.linkedin.com/posts/gina-mastantuono_sandiego-servicenow-grateful-activity-7251674496275755008-w6P7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFwt2UoBTwVKYVSEYFHggZByc_n9_OMGpBE
32,Gina Mastantuono,1.1,850,19,912,Fortune Teller,Entrepreneurship,Future Prediction,Hook -> Insight -> Close,"I’m thrilled to share that ServiceNow has invested in Thinking Machines Lab, a world-class AI lab committed to advancing human productivity through collaborative AI. We invest in category-defining startups that accelerate our platform innovation and expand what’s possible for our customers, partners, and employees.","I’m thrilled to share that ServiceNow has invested in Thinking Machines Lab, a world-class AI lab committed to advancing human productivity through co","I’m thrilled to share that ServiceNow has invested in Thinking Machines Lab, a world-class AI lab committed to advancing human productivity through collaborative AI. We invest in category-defining startups that accelerate our platform innovation and expand what’s possible for our customers, partners, and employees. 

Thinking Machines Lab stands out for its exceptional technical talent and ambitious mission: building AI systems that empower people. Their team is pioneering new ways for humans and AI to work together—blending world-class research with real-world usability to unlock the next frontier of enterprise productivity.

This investment reinforces ServiceNow’s leadership in the AI revolution. As the AI platform for business transformation, ServiceNow is reimagining how work gets done in the enterprise. We’re excited to support Thinking Machines Lab on their journey—and even more excited for what we’ll build together.",https://www.linkedin.com/posts/gina-mastantuono_mira-murati-miramurati-on-x-activity-7351291425260519425-ImCI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEHNb4kB-bdHOp7jSX_I2sgrv0KNd7M3uw4
33,Gina Mastantuono,1.1,879,11,906,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"I wish everyone at ServiceNow and beyond a very happy and bright Diwali. May this year bring light, peace, and prosperity to all.","I wish everyone at ServiceNow and beyond a very happy and bright Diwali. May this year bring light, peace, and prosperity to all.     #Diwali2024 #fes","I wish everyone at ServiceNow and beyond a very happy and bright Diwali. May this year bring light, peace, and prosperity to all.  
 
#Diwali2024 #festivaloflights",https://www.linkedin.com/posts/gina-mastantuono_diwali2024-festivaloflights-activity-7257402192133849090-zDsk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFwt2UoBTwVKYVSEYFHggZByc_n9_OMGpBE
34,Gina Mastantuono,1.1,846,44,899,Teacher,Career Growth,Thought Leadership,Hook -> Insight -> Question,"Hire people who can do your job. This is one of the best pieces of leadership advice I’ve ever received and it came from Dara Khosrowshahi, who was CFO at IAC when he hired me.","Hire people who can do your job. This is one of the best pieces of leadership advice I’ve ever received and it came from Dara Khosrowshahi, who was CF","Hire people who can do your job. This is one of the best pieces of leadership advice I’ve ever received and it came from Dara Khosrowshahi, who was CFO at IAC when he hired me. 

He told me: “Hire the people who can do your job in two to three years—so you can keep growing.”

I've carried that with me ever since. 

Too often, leaders hesitate to hire exceptional talent because they’re worried someone might take their job. The truth is: you SHOULD hire the talent who could take your job.

That's how you build powerhouse teams. It's also how you create the space to keep growing, learning and taking on more yourself. 

Every step in my career has been possible because I built teams strong enough to thrive without me. Teams that were ready to step up the moment I stepped into a new challenge.

At the end of the day, leadership is about elevating others, expanding what’s possible, and creating a culture where excellence attracts excellence. 

When your team rises, YOU rise. 

What’s the best hiring or leadership advice you’ve received along the way?",https://www.linkedin.com/posts/gina-mastantuono_hire-people-who-can-do-your-job-this-is-activity-7415042486768685056-4nXR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAf0-7wBqkHCf8culHraVtb5CKkyrPhCgfs
35,Gina Mastantuono,1.0,877,13,894,Teacher,AI / Tech,Thought Leadership,Hook -> List -> Insight,What. A. Year.,"What. A. Year.   As 2024 comes to a close, I am heading into the holidays both humbled and proud. This was another BIG year for ServiceNow – we achiev","What. A. Year. 

As 2024 comes to a close, I am heading into the holidays both humbled and proud. This was another BIG year for ServiceNow – we achieved new stock and market cap highs; our first mover advantage in GenAI established Now Assist as the fastest-selling new product in our history; we were recognized as a Fortune 500 company for the second year running; and we celebrated our ServiceNow's 20-year anniversary all year long!   

All of this demonstrates the strong demand for THE AI platform for business transformation, the value we continue to drive for customers year after year, and the elite-level execution from our world-class team!  

While I can’t help but to reflect on some of these highlights... I am PUMPED for 2025. 

Wishing everyone a happy and healthy new year ahead.  

#ServiceNow",https://www.linkedin.com/posts/gina-mastantuono_servicenow-activity-7276987899634442240-x9rE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC0JzDIBL1NztyGLeDkT5vdSluBYkXmJ-jI
36,Gina Mastantuono,1.0,829,51,882,Teacher,Motherhood / Family,Thought Leadership,Hook -> Story -> Reflection -> Question,"Life has a beautiful way of coming full circle. Over the past few weeks, I've been traveling with my son on a college tour from Dallas to Miami and more.","Life has a beautiful way of coming full circle. Over the past few weeks, I've been traveling with my son on a college tour from Dallas to Miami and mo","Life has a beautiful way of coming full circle. Over the past few weeks, I've been traveling with my son on a college tour from Dallas to Miami and more. 

It's been equal parts exciting, emotional, and surreal to watch him begin this next chapter. Walking these campuses, I can't help but think back to my own college journey and how far our family has come.

I was the first in my family to go to college and I took that responsibility seriously. I started working at the age of 12, first as a babysitter, and then as a hostess and server to put myself through college.

Picking what to study was an entirely pragmatic decision. I wanted stability and to make sure I could take care of myself without ever having to rely on anyone else.

So, I studied accounting at the State University of New York at Albany. State University was my only option, and I chose Albany because it had an incredible business school. I knew people always needed accountants, even in a recession. That decision changed the course of my life.

Watching my son now explore his options touches me deeply. It reminds me that every generation stands on the shoulders of the one before. My parents worked tirelessly so that I could open new doors, and now, I get to watch my son walk through doors that didn't exist for me. 

As a mom, I see my son’s future. As a leader, I see the bigger picture: this generation will step into a world that’s evolving faster than ever. The choices they make—about curiosity, courage, and connection—will shape not just their lives but the way we all work and live.

For those of you who’ve gone through the college visit process—what tips or tricks made the experience more rewarding and meaningful for you? 

For the alumni out there, I’d love to hear your stories. What moments, professors, or traditions shaped your journey?

I’m grateful for any wisdom you’re willing to share. We’re soaking it all in. 💙",https://www.linkedin.com/posts/gina-mastantuono_life-has-a-beautiful-way-of-coming-full-circle-activity-7387123456125046784-eQTZ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2B0LQBaIdhq7aEqP3FkN299X9A2ZAcLmE
37,Gina Mastantuono,1.0,796,24,861,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> CTA,💥 Third time’s a charm!,💥 Third time’s a charm! ServiceNow is on the Fortune 500 list for the third year in a row.   This isn’t just a ranking—it’s a reflection of the incred,"💥 Third time’s a charm!
ServiceNow is on the Fortune 500 list for the third year in a row. 

This isn’t just a ranking—it’s a reflection of the incredible work our teams do every day, the trust our customers place in us, and the bold vision we’re making real.

AI is transforming the way we work across every industry. Customers aren’t experimenting—they’re executing. They’re looking for clarity, leadership, and tangible outcomes. They want speed, productivity, and effectiveness—and they need to operationalize AI at scale to capture value safely, securely, and responsibly.

We’re purpose-built to put AI to work for people.

Only ServiceNow unites AI agents, data, and workflows on a single enterprise-grade platform designed for scale, transparency, and efficiency. Others are stitching together pieces to try and unlock agentic AI value. We’re already playing in a different league.

More than 85% of the Fortune 500 are in our court—trusting us to deliver enterprise solutions with AI at the core. We’re not here to follow trends, we’re here to set them, and we’re keeping our customers’ and partners’ success as the ultimate measure of ours.

To every ServiceNow employee, customer, and partner on this journey with us—THANK YOU. The best is yet to come. 🔥

Learn more: https://lnkd.in/e4y293_i",https://www.linkedin.com/posts/gina-mastantuono_third-times-a-charm-servicenow-is-on-activity-7335690447576555521-Iqau?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_zUH4BqBNtDG2Tido_zWQLNa9WQ1N85kU
38,Gina Mastantuono,1.0,791,4,858,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,What an incredible honor—ServiceNow was named to Fortune’s 2025 World’s Most Admired Companies list!,What an incredible honor—ServiceNow was named to Fortune’s 2025 World’s Most Admired Companies list!  Recognition like this doesn’t happen by accident,"What an incredible honor—ServiceNow was named to Fortune’s 2025 World’s Most Admired Companies list!

Recognition like this doesn’t happen by accident. It’s built on bold innovation, relentless execution, and—most importantly—our people.

Every day, I see firsthand the passion, collaboration, and customer obsession that drive this company forward. From groundbreaking AI advancements to the way we support each other as colleagues, ServiceNow is a place where big ideas turn into real impact.

What makes this even more exciting? We’re just getting started. The best companies don’t stand still—they keep redefining what’s possible. As we step into 2025, we’ll continue to push boundaries, challenge the status quo, and deliver even more value for our customers, employees, and partners.

I’m proud to be part of this journey—and even more excited for what’s ahead. Let’s keep building the future, together.

#FortuneMostAdmired #WeMakeTheWorldWork #ServiceNow",https://www.linkedin.com/posts/gina-mastantuono_fortunemostadmired-wemaketheworldwork-servicenow-activity-7298750416651988994-Z6qw?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGADtzgBCdDyz_5kPyfMX9Jp8NqvTXc1FrA
39,Gina Mastantuono,1.0,801,11,843,Fortune Teller,AI / Tech,Milestone Announcement,Hook -> Insight -> Close,"Security is increasingly important—and complicated—in an AI world. Today, we’re making it easier for customers to have the confidence they need to advance their AI agendas.","Security is increasingly important—and complicated—in an AI world. Today, we’re making it easier for customers to have the confidence they need to adv","Security is increasingly important—and complicated—in an AI world. Today, we’re making it easier for customers to have the confidence they need to advance their AI agendas.

ServiceNow just announced our intent to acquire Veza, a leader in identity security. Together, we can help organizations better understand and control who and WHAT has access to their critical systems and data, and put end-to-end identity governance workflows in place to radically reduce enterprise risk.

I’m making this sound simple, but it’s incredibly complex. Veza’s AI-native approach to relationship mapping and analysis provides unprecedented visibility and control of the identities in an environment. I truly can’t wait to see the impact this will have for our customers when combined with the power of the ServiceNow AI Control Tower.

To Tarun Thakur and the team at Veza—incredible work! We’re thrilled for our future together. 

https://lnkd.in/gegzexrn",https://www.linkedin.com/posts/gina-mastantuono_security-is-increasingly-importantand-complicatedin-activity-7401624273582538753-ttym?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEL3bxwBwKYzZjrt26wx6rOJd1c-I03NZVc
40,Gina Mastantuono,1.0,805,31,837,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,"At ServiceNow, we're guided by our People Pact. It's our commitment to each other to do our best work, live our best lives, and fulfill our purpose together.","At ServiceNow, we're guided by our People Pact. It's our commitment to each other to do our best work, live our best lives, and fulfill our purpose to","At ServiceNow, we're guided by our People Pact. It's our commitment to each other to do our best work, live our best lives, and fulfill our purpose together.

As part of this, we're celebrating WellFest this week—an internal week of wellbeing focused on movement, mindfulness, and connection. It’s one of my favorite moments of the year because it’s a reminder that thriving at work starts with taking care of ourselves.

Over time, I’ve learned that wellbeing isn’t a single action, but a rhythm you build. It takes consistency, intention, and a willingness to prioritize yourself—even on the busiest days. Ultimately, you must put your own oxygen mask on before helping someone else with theirs. 

Here are a few wellness practices that have made a difference for me:

- Move every day. I aim for some form of daily exercise or movement. I also get my steps in (at least 10,000) even if it means walking between meetings or during calls, or getting on the treadmill at the end of a long day.  

- Keep it simple. The power of a routine lies in its repeatability—it eliminates unnecessary decision-making around simple tasks. For example, I eat the same lunch most days.

- Make time for recovery. I used to think performance came from pushing harder. I’ve learned it comes just as much from sleep, rest, and letting your body and mind recharge. 

- Stay connected. Community is a powerful anchor. For me, family, friends, and colleagues remind me what really matters. I carve out time for them and I stick to my commitments. 

- Lead by example. True wellbeing doesn't stop with the individual, it thrives when it becomes part of a company's culture. In my experience, when leaders prioritize it openly, others feel permission to do the same.

One of my most meaningful moments recently was when a colleague texted me to say my focus on wellness inspired them to start their own fitness journey. They felt healthier and more energized as a result. That impact goes far beyond the gym—it’s about building a culture at ServiceNow where we support each other to be at our best.

What’s one practice that helps you show up as your best self?",https://www.linkedin.com/posts/gina-mastantuono_at-servicenow-were-guided-by-our-people-activity-7381375656804192256-ihbz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2B0LQBaIdhq7aEqP3FkN299X9A2ZAcLmE
41,Gina Mastantuono,1.0,815,9,830,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,"As we wrap up 2025, I want to take moment to pause and celebrate both the big milestones and the quiet moments in between.","As we wrap up 2025, I want to take moment to pause and celebrate both the big milestones and the quiet moments in between.  I know I say this every ye","As we wrap up 2025, I want to take moment to pause and celebrate both the big milestones and the quiet moments in between.

I know I say this every year, but this was a BIG year for ServiceNow. 

Year after year, I’m struck by how much can happen when talented, passionate people rally around a shared purpose. The numbers tell one story—but the people behind them tell an even better one.

This year, we exceeded every topline growth and profitability metric, with standout performance across the board. We were named to the Fortune 500 for the third year in a row and joined the S&P 100. We were also named a TIME World's Best Company for Sustainable Growth, a Fortune Best Workplace for Parents, and one of Fast Company's Brands That Matter.

We opened our new regional hub and AI Institute in West Palm Beach, deepened partnerships with leading AI innovators like NVIDIA, and saw Now Assist close its largest deal to date—over $20M.

Outside the day-to-day, I’m grateful for the moments that let me connect with my leadership community—from gatherings like the Finance 50 Summit and Fortune’s Most Powerful Women Summit to lunches with friends and colleagues. Those conversations always leave me energized and grateful.

On a personal note, this year gave me some #proudmom moments—like my younger son’s eighth-grade graduation and taking my older son on his first college tour. I also deeply cherished the time I spent with family, including our trip to London over Thanksgiving after losing my mother-in-law. It was a difficult season, but it also reinforced just how precious (and fleeting) this time really is.

Moments like these are powerful reminders of how quickly time moves—and why the work we do to shape the future matters more than ever.

Thank you to everyone who's been part of this year. See you in the New Year!",https://www.linkedin.com/posts/gina-mastantuono_proudmom-activity-7411435981104570368-vCNt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAf0-7wBqkHCf8culHraVtb5CKkyrPhCgfs
42,Gina Mastantuono,1.0,765,23,813,Magician,AI / Tech,Pattern Interrupt,Hook -> Insight -> Close,"Another amazing conversation with Sheryl Estrada! From our $8.8 billion run rate to our bold $15+ billion ambition by 2026, and how AI is igniting productivity and unlocking new growth—this story captures the momentum and mindset driving ServiceNow forward. Sheryl and the team at Fortune, you nailed it!","Another amazing conversation with Sheryl Estrada! From our $8.8 billion run rate to our bold $15+ billion ambition by 2026, and how AI is igniting pro","Another amazing conversation with Sheryl Estrada! From our $8.8 billion run rate to our bold $15+ billion ambition by 2026, and how AI is igniting productivity and unlocking new growth—this story captures the momentum and mindset driving ServiceNow forward. Sheryl and the team at Fortune, you nailed it!
 
As I shared with Sheryl, I’ve had a front-row seat for one of the most remarkable growth trajectories in enterprise tech—crossing $10 billion in revenue, growing subscription revenue at a 26% compound annual growth rate from 2020 to 2024, adding $2 billion in organic revenue in 2024, and more than doubling our elite team of employees globally.
 
ServiceNow is fueling our trajectory by prioritizing what our customers want and need—putting AI to work for people. The future of AI is here NOW, and the companies that move fast, stay focused, and lead with purpose are the ones that will win.
 
Let’s GO! 🚀 

https://lnkd.in/gqBBEcpM",https://www.linkedin.com/posts/gina-mastantuono_another-amazing-conversation-with-sheryl-activity-7330700816342757377-XDb9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_zUH4BqBNtDG2Tido_zWQLNa9WQ1N85kU
43,Gina Mastantuono,0.9,758,48,809,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,This. Is. FIVE.,This. Is. FIVE.    I’m delighted to celebrate this work anniversary milestone at ServiceNow. These past five years have been incredibly fulfilling – w,"This. Is. FIVE.  

I’m delighted to celebrate this work anniversary milestone at ServiceNow. These past five years have been incredibly fulfilling – working alongside Bill McDermott and our executive leadership team to steer the company through a global pandemic, helping our customers leverage the power of our platform to connect every corner of their business, and innovating in service to our customers and each other every single day.  

I am grateful to my team for capturing some of the milestone moments, and putting together this heartfelt video. I always say I’m in my dream job – and five years in, it still holds true.  

Today, I am more confident than ever that ServiceNow is on the path to becoming THE defining enterprise software company of the 21st century. Let’s go!!  

#ServiceNow #workanniversary",https://www.linkedin.com/posts/gina-mastantuono_servicenow-workanniversary-activity-7282429983375900673-T9jd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAGADtzgBCdDyz_5kPyfMX9Jp8NqvTXc1FrA
44,Gina Mastantuono,0.9,760,16,786,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,THIS is what resilience looks like. THIS is what elite execution feels like.,"THIS is what resilience looks like. THIS is what elite execution feels like.    Last week, I had the privilege of stepping onto the stage at our compa","THIS is what resilience looks like. THIS is what elite execution feels like. 
 
Last week, I had the privilege of stepping onto the stage at our company-wide town hall in Santa Clara to share the strong results we delivered this quarter and to celebrate the team that made it happen.  
 
In a world where the macro environment could have been an easy excuse to take our foot off the gas… we didn’t. Instead, we dug deep. We stayed focused. We showed up, day in and day out with grit, determination, and passion.  
 
The results speak for themselves:  
✅ Subscription revenues crossed $3 billion.  
✅ 22% cRPO growth, significantly beating our guidance.  
✅ Record free cash flow margin.  
✅ Now Assist deals quadrupled year-over-year.  
 
These aren’t just numbers—they are the outcome of what happens when great companies focus on what they can control.  
 
Our platform is purpose-built for this moment and we’re building for the future. We’re helping our customers achieve incredible outcomes by driving AI efficiencies where they matter most. Delivering results, not excuses.  
 
Yes, the world is dynamic. Our fundamentals are strong. Our momentum is real. And our conviction? Stronger than ever.  
 
Speed bumps don’t bother rocket ships. Let’s go!  
 
Bill McDermott Amit Zavery Paul Smith Jacqui Canney Chris Bedi Russ Elmer Nick Tzitzon Paul Fipps 
 
#ServiceNow #Earnings #PutAItoWorkForPeople",https://www.linkedin.com/posts/gina-mastantuono_servicenow-earnings-putaitoworkforpeople-activity-7322698561010225152-Z5kj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACtA4KcBx5CyrQmZwEMZrXpKpd7UGv8ZKBU
