rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
11,Melanie Perkins,2.1,2519,132,2703,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Story -> Lesson,Yesterday was a pretty special day.,"Yesterday was a pretty special day.  For the first time, we brought together more than 3,000 of our Canva team from across Australia and New Zealand u","Yesterday was a pretty special day.

For the first time, we brought together more than 3,000 of our Canva team from across Australia and New Zealand under one roof where we unveiled the Canva Creative Operating System, our biggest product launch yet. 

It brings together an upgraded visual suite with Email Design, Forms, and Video 2.0; a powerful new Canva AI layer; Canva Grow, Brand System and the all new Affinity! 

We believe we’re entering a new chapter, the Imagination Era, where the best breakthroughs come not from just how much we know, but by what we can imagine and then create together.

At the end of the keynote, I wore a jacket with what’s now one of my all-time favourite quotes: “Everything good was once imagined.”

Jimmy Knowles imagined that jacket while having a salt float… and then there I was, on stage, wearing what he had imagined.

The week itself was imagined by an incredible crew who brought every detail to life, from the Canva Express train that carried our team to the event, to all of our product launches imagined by so many across Canva, to every detail of the staging, keynote and the week of festivities, even the wishes for new features were imagined by our community around the world.

It capped off the Canva World Tour, where our teams set off around the globe to meet and teach our community in 40 cities, 30 countries, and with 250+ workshops. 

It was imagination made real, over and over again. And captured what we believe to be true: imagination is the most important skill we have.

Thank you to our absolutely incredible team who made all of this possible.

Everything good was once imagined 💭

We’re just getting started... explore all the launches here: https://lnkd.in/gf5xsFVH",https://www.linkedin.com/posts/melanieperkins_yesterday-was-a-pretty-special-day-for-activity-7389911474342813696-DbfZ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
12,Melanie Perkins,2.0,2380,158,2598,Magician,Philanthropy / Cause,Pattern Interrupt,Hook -> Insight -> Close,"A number of years ago we took the 1% Pledge where we donated 1% of our team's product, time, profits and equity. I'm pleased to say that we've just crossed another pretty huge milestone of donating more than $1 billion worth of annual product value through our Canva for Education and Nonprofit programs!","A number of years ago we took the 1% Pledge where we donated 1% of our team's product, time, profits and equity. I'm pleased to say that we've just cr","A number of years ago we took the 1% Pledge where we donated 1% of our team's product, time, profits and equity. I'm pleased to say that we've just crossed another pretty huge milestone of donating more than $1 billion worth of annual product value through our Canva for Education and Nonprofit programs!

One of the best parts of our job is seeing the way Canva has been used in the classrooms and nonprofits in every corner of the globe to help achieve their goals. A massive thanks to our incredible team who help empower our community every day, and our incredible community who have helped to spread Canva far and wide and are still our biggest marketing channel, even after all these years.

If you are part of one of these programs we'd love to hear how you use Canva! And if you aren't but know a nonprofit or school not yet using Canva, we'd love to give them a paid account on us at: canva.com/education or canva.com/nonprofits",https://www.linkedin.com/posts/melanieperkins_celebrating-1-billion-of-product-donated-activity-7226515296004534272-MKca?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
13,Melanie Perkins,1.5,1843,77,1961,Magician,Philanthropy / Cause,Pattern Interrupt,Hook -> Insight -> Close,"For many years at Canva we’ve had what we call “our Two-Step Plan”: (1) to build one of the world’s most valuable companies, and (2) to do the most good we can do.","For many years at Canva we’ve had what we call “our Two-Step Plan”: (1) to build one of the world’s most valuable companies, and (2) to do the most go","For many years at Canva we’ve had what we call “our Two-Step Plan”: (1) to build one of the world’s most valuable companies, and (2) to do the most good we can do.

It's only because of the contributions from our incredible team and the support from the millions of people who use Canva that we’ve been able to make progress towards these steps. 

Today, we’re incredibly excited to share an update on Step Two as we embark on the next phase of our partnership with GiveDirectly through a $20M cash transfer program in Malawi as part of our goal to help uplift people from extreme poverty. Hearing the stories and impact from our first program, it’s the best money we could ever imagine spending. 

We have had lots of questions throughout our journey about giving cash directly to people in extreme poverty, and so in the post below we dive into a number of questions we’ve asked and questions asked by our team, we hope you find it as interesting as we did!",https://www.linkedin.com/posts/melanieperkins_uplifting-people-from-extreme-poverty-the-activity-7069895107675582464-Gptf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
14,Melanie Perkins,1.5,1803,73,1932,Teacher,Entrepreneurship,Personal Story,Hook -> Insight -> CTA,"Five years ago, I published a blog answering some of the frequently asked questions from other founders about our journey building Canva. I called that Part One, and now, five years later, as we celebrate Canva turning 10, it seemed fitting to finally follow up with Part Two!","Five years ago, I published a blog answering some of the frequently asked questions from other founders about our journey building Canva. I called tha","Five years ago, I published a blog answering some of the frequently asked questions from other founders about our journey building Canva. I called that Part One, and now, five years later, as we celebrate Canva turning 10, it seemed fitting to finally follow up with Part Two!

Perhaps the best metaphor for a startup is a rollercoaster - a mixture of scary and excitement, ups, downs, and everything in between. But never a dull moment! Hopefully, some of our learnings are helpful for others too!",https://www.linkedin.com/posts/melanieperkins_21-questions-from-canvas-10-year-journey-activity-7106826313855860737-isEH?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
15,Melanie Perkins,1.4,1707,43,1840,Teacher,Leadership,Thought Leadership,Hook -> List -> Insight,"We're calling upon all business leaders across Australia to #StopTheSpread of #covid19. As Aussies we’ve had our fair share of tough times this year - but as a nation of resilience and courage, we’ve proven that our greatest strength stems from rallying together. So let’s join forces and act now: http://stopthespread.biz",We're calling upon all business leaders across Australia to #StopTheSpread of #covid19. As Aussies we’ve had our fair share of tough times this year -,"We're calling upon all business leaders across Australia to #StopTheSpread of #covid19. As Aussies we’ve had our fair share of tough times this year - but as a nation of resilience and courage, we’ve proven that our greatest strength stems from rallying together. So let’s join forces and act now: http://stopthespread.biz",https://www.linkedin.com/posts/melanieperkins_stopthespread-covid19-activity-6645505115774156800-oZB7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
16,Melanie Perkins,1.2,1493,80,1602,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,"It was such a pleasure sharing the Canva story with @Alex Konrad at @Forbes and giving him an inside look into how our team works. Alex joined our Season Opener, product sessions and more. Really appreciated him making the trip to the other side of the world!",It was such a pleasure sharing the Canva story with @Alex Konrad at @Forbes and giving him an inside look into how our team works. Alex joined our Sea,"It was such a pleasure sharing the Canva story with @Alex Konrad at @Forbes and giving him an inside look into how our team works. Alex joined our Season Opener, product sessions and more. Really appreciated him making the trip to the other side of the world!",https://www.linkedin.com/posts/melanieperkins_canva-uncovered-how-a-young-australian-kitesurfer-activity-6612867281112403968-_XK_?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo
17,Melanie Perkins,1.0,1220,76,1336,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,It’s hard to believe we’re less than 10 days away from Canva Create 2025! 🚀,"It’s hard to believe we’re less than 10 days away from Canva Create 2025! 🚀  This will be our fourth time bringing our community together, and it’s sh","It’s hard to believe we’re less than 10 days away from Canva Create 2025! 🚀

This will be our fourth time bringing our community together, and it’s shaping up to be our biggest yet. While I won't give any spoilers, I can say we’ll be unveiling some of the most exciting product launches in Canva’s history. Our team has been hard at work bringing it all to life, and we can't wait to get them into your hands!

Something we love to do at Canva is grant wishes from our community. If you have any feature requests, ideas, or wishes, we'd love to know what would make Canva even more helpful for you this year – big or small, we're all ears💡👇

We've sold out of in person tickets, but if you haven't registered yet, we'd love for you to join us online – it's free! 
canva.com/canva-create",https://www.linkedin.com/posts/melanieperkins_canva-create-2025-join-online-for-free-activity-7313006523847192576-p4_C?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
18,Melanie Perkins,0.7,931,46,982,Teacher,Entrepreneurship,Thought Leadership,Hook -> Insight -> Close,"Canva has been brought to life by the hard work of so many incredible people I’ve been fortunate enough to cross paths with. One of those people is Lars Rasmussen, who has had a profound impact on Canva from our earliest days.",Canva has been brought to life by the hard work of so many incredible people I’ve been fortunate enough to cross paths with. One of those people is La,"Canva has been brought to life by the hard work of so many incredible people I’ve been fortunate enough to cross paths with. One of those people is Lars Rasmussen, who has had a profound impact on Canva from our earliest days.

Before Canva had a single line of code, before we even had an engineering team, he generously shared his wisdom, helping me understand the extraordinarily strong engineering talent we needed to bring our vision to life. We dreamed about the future together, and his guidance played a pivotal role in helping us to get started.

Beyond Canva, Lars had left an undeniable mark on technology we’ve come to know and love as the co-founder of Google Maps, he helped change how we navigate the world. Now, he’s channeling that same ambition and energy into building a thriving tech scene in Greece. He believes a massive tech festival could help ignite the movement, and I couldn’t agree more!

When he invited me to speak, I couldn’t say no. The only catch? The event is on the other side of the world, and with other commitments, I couldn’t be there in person. But in true Lars fashion, where challenges become opportunities, we decided to push the boundaries and experiment with new technology.

So, I’ll be there – via hologram! Excited to see how it all comes to life, and to speak to the next generation of founders out there 🚀",https://www.linkedin.com/posts/melanieperkins_tickets-are-now-open-be-part-of-the-first-activity-7305556453342265345-5E5i?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
19,Melanie Perkins,0.7,793,73,891,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Just recorded a podcast with Lenny Rachitsky such a joy to dive deep into ideas and philosophies I don’t often get to talk about!,Just recorded a podcast with Lenny Rachitsky such a joy to dive deep into ideas and philosophies I don’t often get to talk about!  He was incredibly p,"Just recorded a podcast with Lenny Rachitsky such a joy to dive deep into ideas and philosophies I don’t often get to talk about!

He was incredibly prepared, which made for one of my favorite conversations yet.

If you’re going to give it a listen, I’d love to hear what resonated!",https://www.linkedin.com/posts/melanieperkins_melanie-perkins-is-co-founder-and-ceo-of-activity-7390880805071491072-8t-1?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
20,Melanie Perkins,0.6,787,34,835,Fortune Teller,Entrepreneurship,Milestone Announcement,Hook -> Punch Line,"Excited to share advice, tips and the story of starting Canva with fellow #smallbusiness owners and #entrepreneurs at @QuickBooksAU’s #QBConnect event in Sydney. Join me on 24 May: https://intuit.me/2FwOqVJ","Excited to share advice, tips and the story of starting Canva with fellow #smallbusiness owners and #entrepreneurs at @QuickBooksAU’s #QBConnect event","Excited to share advice, tips and the story of starting Canva with fellow #smallbusiness owners and #entrepreneurs at @QuickBooksAU’s #QBConnect event in Sydney. Join me on 24 May: https://intuit.me/2FwOqVJ",https://www.linkedin.com/posts/melanieperkins_excited-to-share-advice-tips-and-the-story-activity-6401618783366156288-DpOK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABJnN1EBg8SkzCDxZWBl3ARKtQSsamhRgWE
21,Melanie Perkins,0.6,768,52,820,Teacher,Philanthropy / Cause,Thought Leadership,Observation -> Question,"Absolutely loved this campaign and really proud of the team that brought it to life. I would love to spend all of our marketing budget creating special, magical memories for our community and helping them to achieve their life goals. Is it possible? Not sure - but this is a really special start :)",Absolutely loved this campaign and really proud of the team that brought it to life. I would love to spend all of our marketing budget creating specia,"Absolutely loved this campaign and really proud of the team that brought it to life. I would love to spend all of our marketing budget creating special, magical memories for our community and helping them to achieve their life goals. Is it possible? Not sure - but this is a really special start :)",https://www.linkedin.com/posts/melanieperkins_the-christmas-surprise-one-family-wasnt-activity-6609759239969828865-pGvM?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo
22,Melanie Perkins,0.6,734,30,774,Teacher,Entrepreneurship,Thought Leadership,Hook -> Punch Line,"From a tiny team that could sit around one table a few years ago to 350+ amazing people today, our team has grown rapidly, but has always kept true to our essence and our culture has continued to strengthen over the years. Zach Kitschke has played a huge role in helping to sculpt the amazing culture we have at Canva today and shares some great insights in this blog. https://lnkd.in/gSewaXK #startups","From a tiny team that could sit around one table a few years ago to 350+ amazing people today, our team has grown rapidly, but has always kept true to","From a tiny team that could sit around one table a few years ago to 350+ amazing people today, our team has grown rapidly, but has always kept true to our essence and our culture has continued to strengthen over the years. Zach Kitschke has played a huge role in helping to sculpt the amazing culture we have at Canva today and shares some great insights in this blog. https://lnkd.in/gSewaXK #startups",https://www.linkedin.com/posts/melanieperkins_startups-activity-6459982446044807168-a8zt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADPPKZoBGm3auaTkRMiq2S8K_GGARf_bs9s
23,Melanie Perkins,0.5,624,32,663,Teacher,Leadership,Thought Leadership,Hook -> Insight -> Close,"We’ve come along way since our first company where my Mum generously let us take over her living room and garage. We’re fortunate to now have a beautiful office that inspires creativity and our team has a lot of great perks - but I think the most important thing has always been the people, whether they were huddled around a table without much else or now filling a whole beautiful building - I think the biggest perk has always been working with people who are passionate about what they do.",We’ve come along way since our first company where my Mum generously let us take over her living room and garage. We’re fortunate to now have a beauti,"We’ve come along way since our first company where my Mum generously let us take over her living room and garage. We’re fortunate to now have a beautiful office that inspires creativity and our team has a lot of great perks - but I think the most important thing has always been the people, whether they were huddled around a table without much else or now filling a whole beautiful building - I think the biggest perk has always been working with people who are passionate about what they do.",https://www.linkedin.com/posts/melanieperkins_a-look-inside-the-18-coolest-offices-in-australia-activity-6415089330137718784-FSY6?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABJnN1EBg8SkzCDxZWBl3ARKtQSsamhRgWE
