rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
11,Leila Hormozi,1.7,2228,314,2611,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7408914277312499713-phpI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADIHSrYB0VN74S2_WK7zbYcbyeSJzXf_OWM
12,Leila Hormozi,1.7,2112,343,2565,Teacher,Leadership,Direct Advice,Hook -> Punch Line,"you create your own ""luck""","you create your own ""luck""","you create your own ""luck""",https://www.linkedin.com/posts/leilahormozi_you-create-your-own-luck-activity-7421582722550231040-APAz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFQtbscBR0jl8XDw0uqbocpzD1eHL7ZCUmc
13,Leila Hormozi,1.7,2204,318,2563,Teacher,Content / Brand,Thought Leadership,Hook -> Story -> Lesson,2025 was INSANE…,2025 was INSANE… This past year we:  • Broke a Guinness World Record • Bought a second building • Made $106M in 3 days  And we also crossed 100 teamma,"2025 was INSANE…
This past year we:

• Broke a Guinness World Record
• Bought a second building
• Made $106M in 3 days

And we also crossed 100 teammates at Acquisition.com
(which is wild to say out loud).

But it also means I can’t have face-to-face conversations with everyone anymore.

So we’ve moved to more of a memo-style culture where I write memos to share what I’m thinking, what we’re learning, and how we’re growing.

My team has been loving them.

So, I figured…
Why not just send them to anyone who's interested? :D

Introducing “Leila’s Letters”

So here's what you'll get -

Every week I write notes for my team as we're building Acquisition.com. The stuff I'm thinking about, dealing with, trying to figure out.

Now I'm just... ALSO sending them to you :)

Things like:
What actually worked this week (and what bombed)
Leadership stuff I'm figuring out as I go
The uncomfortable parts of building a company nobody talks about that f*cking suck

The first collection is called “12 Months of Key Decisions at Acquisition.com.”

Inside you’ll find memos from our departmental leaders on:

• hiring
• pivoting our business model
• buying a second building
• launching the book
• and the decisions that shaped our year

These aren't edited. I'm not cleaning them up or making them sound smarter. They're the actual memos with typos, rambling thoughts, and occasional f-bombs included.

If you're looking for inspirational LinkedIn content about ""crushing it"" or whatever the heck that is, this isn't it.

But if you want to see what's ACTUALLY happening behind the scenes - the imperfect parts, the failures, the things that worked that we didn't expect - you'll probably get something out of these.

Talk soon :)
Leila

Access the memo here: https://lnkd.in/gsdTtQqZ",https://www.linkedin.com/posts/leilahormozi_2025-was-insane-this-past-year-we-broke-activity-7407117428796657665-j0u4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADIHSrYB0VN74S2_WK7zbYcbyeSJzXf_OWM
14,Leila Hormozi,1.7,2189,290,2560,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,keep this in mind for 2026 ⬇️,keep this in mind for 2026 ⬇️,keep this in mind for 2026 ⬇️,https://www.linkedin.com/posts/leilahormozi_keep-this-in-mind-for-2026-activity-7413991427866714114-uLa2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
15,Leila Hormozi,1.7,2060,361,2502,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7400945461932699648-JrZU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjYP_cBgq5oikFRy29mtR2t-BhcVxV6YQw
16,Leila Hormozi,1.6,2124,239,2453,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7420857921758109696-jnra?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFQtbscBR0jl8XDw0uqbocpzD1eHL7ZCUmc
17,Leila Hormozi,1.5,1814,408,2281,Teacher,Motherhood / Family,Thought Leadership,Hook -> Story -> Lesson,I’ll likely never post about this again.,I’ll likely never post about this again.  But I felt compelled to share.   As someone many young women look up to and often misunderstand I wanted to ,"I’ll likely never post about this again. 
But I felt compelled to share. 

As someone many young women look up to and often misunderstand I wanted to share this.

I love my husband. 
I love my independence. 
I love being a CEO.
But more than anything, I love love.

Somehow we’ve been told we have to choose:
Be strong or be soft.
Be ambitious or be nurturing.
Be independent or value men.
But the truth is, the most fulfilled women I know live on the AND, not the OR.

I want to build companies, lead teams, land make big decisions all day and I also want to come home, let my husband make decisions and cook for him because it brings me joy and comfort. 

That duality doesn’t make me less. It makes me a human. Being independent is empowering… but dependence (the healthy kind) is what creates closeness.

It’s what builds trust, connection, and a life that’s bigger than what you can do alone. Somewhere along the way, hyper-individual culture convinced us that needing no one was the ultimate achievement.

That being self-sufficient in every area was the goal. But that mindset the one that keeps you guarded, controlled, relentlessly “strong” is the exact energy that can quickly erode your relationship.

At work, that energy makes you extraordinarily successful. At home, it makes you intolerable.

I see so many women struggling with this not because they’re wrong, but because no one ever taught them the tools to thrive in BOTH spaces.

An adaptive trait at work, is often maladaptive at home. Meanwhile, a lot of girls are busy trying to impress other girls on IG… polishing an image instead of building a life.

Somehow it became “uncool” to love men, appreciate them, depend on them, or let them be what they want to be.

Unfiltered truth: If you refuse to depend on your man for anything, you remove the very thing most men find meaning in to provide, protect, and build something with you.

Not because you’re weak.
But because you’re worth providing for.
And men feel this deeply … even when they don’t say it.

Women feel it too the desire to contribute in ways that aren’t measured in dollars, but in presence, warmth, and care.

This isn’t about choosing tradition or modernity and it is NOT about choosing men over yourself.

It’s about the courage to want a life that includes both strength and softness, ambition and partnership, independence and interdependence.

I love my independence.
I love my husband.
But the real power .. or even *magic* is choosing a life where both can exist without canceling each other out.

A life where love isn’t a threat to your strength but the very thing that makes you stronger.",https://www.linkedin.com/posts/leilahormozi_ill-likely-never-post-about-this-again-activity-7401666494256078850-HamV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjYP_cBgq5oikFRy29mtR2t-BhcVxV6YQw
18,Leila Hormozi,1.5,1864,317,2277,Teacher,Personal Development,Thought Leadership,Hook -> Punch Line,Let people judge you.,Let people judge you.  Let people misunderstand you. Let people talk sh*t about you.  What people choose to project onto you is not your problem and i,"Let people judge you. 
Let people misunderstand you.
Let people talk sh*t about you.

What people choose to project onto you is not your problem and it certainly doesn’t pay your bills. 

True peace is acting as you want, without fear of judgment from strangers who don’t matter. 

If you want to be exceptional. Act like one. 

Be the exception.",https://www.linkedin.com/posts/leilahormozi_let-people-judge-you-let-people-misunderstand-activity-7430653717764468736-Y5sm?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
19,Leila Hormozi,1.5,1783,373,2199,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,The fastest way to spot a successful person:,The fastest way to spot a successful person:      Watch how quickly they make decisions.  Watch how quickly they respond to messages.  Watch how quick,"The fastest way to spot a successful person: 




Watch how quickly they make decisions. 
Watch how quickly they respond to messages. 
Watch how quickly they turn ideas into action.
Speed is king.",https://www.linkedin.com/posts/leilahormozi_the-fastest-way-to-spot-a-successful-person-activity-7404927956042571779-_Nwz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw
20,Leila Hormozi,1.4,1723,257,2088,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Patience + Relentless Work Ethic = Hard to beat,Patience + Relentless Work Ethic = Hard to beat,Patience + Relentless Work Ethic = Hard to beat,https://www.linkedin.com/posts/leilahormozi_patience-relentless-work-ethic-hard-to-activity-7419061097594335232-X98u?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACduEjUB9RjUluiHlrWu9gJkcoqkDVIC-IE
21,Leila Hormozi,1.4,1668,349,2064,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Let people judge you.,Let people judge you.  Let people misunderstand you.  Let people talk sh*t about you.  What people choose to project on you is not your problem and it,"Let people judge you. 
Let people misunderstand you. 
Let people talk sh*t about you.

What people choose to project on you is not your problem and it certainly doesn’t pay your bills.",https://www.linkedin.com/posts/leilahormozi_let-people-judge-you-let-people-misunderstand-activity-7427403581047123968-O7oy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0h804BS8CSsxKfHuuVAt0SlpsVQjX4_Xs
22,Leila Hormozi,1.3,1681,308,2026,Teacher,Career Growth,Thought Leadership,Hook -> Insight -> Close,I've never shared this before.,"I've never shared this before. Story of the worst manager I ever had.  When I was 18 years old, I wanted to be a chef.  I joined a culinary program in","I've never shared this before.
Story of the worst manager I ever had.

When I was 18 years old, I wanted to be a chef. 
I joined a culinary program in the hopes of starting my career.

One day, we were instructed to make cookies. For the first batch, I followed my boss's instructions exactly. They came out dry, so I made a second batch to fix the issue.

When my boss saw the new batch, she started destroying the cookies right in front of me. She was angry that I hadn't followed her recipe even though the second version was better... 

After that day it was clear to me that what demotivates employees is the unnecessary friction created by needless words and rules. They create arbitrary restrictions and they suppress people.

Bad managers can take someone who comes in motivated and drain that motivation until they no longer want to work at all. If you don’t like what you’re getting from your employees, look at what you’re giving them.",https://www.linkedin.com/posts/leilahormozi_ive-never-shared-this-before-story-of-the-activity-7400583074792730624-GD9p?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjYP_cBgq5oikFRy29mtR2t-BhcVxV6YQw
23,Leila Hormozi,1.3,1681,308,2026,Teacher,Career Growth,Thought Leadership,Hook -> Insight -> Close,I've never shared this before.,"I've never shared this before. Story of the worst manager I ever had.  When I was 18 years old, I wanted to be a chef.  I joined a culinary program in","I've never shared this before.
Story of the worst manager I ever had.

When I was 18 years old, I wanted to be a chef. 
I joined a culinary program in the hopes of starting my career.

One day, we were instructed to make cookies. For the first batch, I followed my boss's instructions exactly. They came out dry, so I made a second batch to fix the issue.

When my boss saw the new batch, she started destroying the cookies right in front of me. She was angry that I hadn't followed her recipe even though the second version was better... 

After that day it was clear to me that what demotivates employees is the unnecessary friction created by needless words and rules. They create arbitrary restrictions and they suppress people.

Bad managers can take someone who comes in motivated and drain that motivation until they no longer want to work at all. If you don’t like what you’re getting from your employees, look at what you’re giving them.",https://www.linkedin.com/posts/leilahormozi_ive-never-shared-this-before-story-of-the-activity-7400583074792730624-GD9p?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjYP_cBgq5oikFRy29mtR2t-BhcVxV6YQw
24,Leila Hormozi,1.3,1684,209,1973,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7427765939321909249-EHYj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0h804BS8CSsxKfHuuVAt0SlpsVQjX4_Xs
25,Leila Hormozi,1.3,1727,191,1941,Teacher,Leadership,Direct Advice,Hook -> Punch Line,If you are brave to leave your old life behind.,If you are brave to leave your old life behind.  Life will reward you with a better one.,"If you are brave to leave your old life behind. 
Life will reward you with a better one.",https://www.linkedin.com/posts/leilahormozi_at-19-i-was-lost-activity-7404565593015951360-KxD0?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw
26,Leila Hormozi,1.3,1500,366,1888,Teacher,Leadership,Thought Leadership,Hook -> List -> Insight,I had to give up sleeping in.,I had to give up sleeping in. I had to give up 8 hour work days. I had to give up family dinners. I had to give up birthday parties. I had to give up ,"I had to give up sleeping in.
I had to give up 8 hour work days.
I had to give up family dinners.
I had to give up birthday parties.
I had to give up beach days.
I had to give up weekends.

If you think you want something, the question to ask yourself is not “Do I want this?” or “How badly do I want this?”

The real question is, “What am I willing to give up to achieve this goal?”

Everyone dreams of the perfect body, job, house, relationship, or company.

Wanting these things isn’t the hard part.

The real question is, what are you willing to give up for them?

- leila 💅",https://www.linkedin.com/posts/leilahormozi_i-had-to-give-up-sleeping-in-i-had-to-give-activity-7414716205774843906-iY-m?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
27,Leila Hormozi,1.3,1577,280,1882,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"On the other side of loneliness, is growth.","On the other side of loneliness, is growth.  On the other side of boredom, is mastery.  On the other side of sacrifice, is success.   You can’t desire","On the other side of loneliness, is growth. 
On the other side of boredom, is mastery. 
On the other side of sacrifice, is success. 

You can’t desire the outcome and not be willing to pay the price.",https://www.linkedin.com/posts/leilahormozi_on-the-other-side-of-loneliness-is-growth-activity-7403482176995889153-vfp5?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw
28,Leila Hormozi,1.2,1559,275,1866,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7415078595095703552-KR19?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
29,Leila Hormozi,1.2,1427,305,1769,Contrarian,Leadership,Challenging Convention,Hook -> List -> Insight,There will be many days when you feel:,There will be many days when you feel: - Overwhelmed - Exhausted - Defeated - Betrayed - Lost  Don’t let those feelings stop you from: + Doing the wor,"There will be many days when you feel:
- Overwhelmed
- Exhausted
- Defeated
- Betrayed
- Lost

Don’t let those feelings stop you from:
+ Doing the work
+ Showing up with enthusiasm
+ Acting like you can still win
+ Trusting others
+ Giving others grace

Act by your values > act on your feelings",https://www.linkedin.com/posts/leilahormozi_there-will-be-many-days-when-you-feel-activity-7411096097370079233-QTtg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
30,Leila Hormozi,1.1,1440,176,1659,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,i doubt anyone would disagree...,i doubt anyone would disagree...,i doubt anyone would disagree...,https://www.linkedin.com/posts/leilahormozi_i-doubt-anyone-would-disagree-activity-7431378498365059072-BE5-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
31,Leila Hormozi,1.1,1398,215,1657,Teacher,Leadership,Direct Advice,Hook -> Punch Line,You don't lose A-players to competition.,You don't lose A-players to competition. You lose them to frustration when they're forced to carry D-players.,"You don't lose A-players to competition.
You lose them to frustration when they're forced to carry D-players.",https://www.linkedin.com/posts/leilahormozi_you-dont-lose-a-players-to-competition-activity-7426663695822487552-PNmU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0h804BS8CSsxKfHuuVAt0SlpsVQjX4_Xs
32,Leila Hormozi,1.1,1363,227,1637,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7429928954750382080-9o2-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
33,Leila Hormozi,1.1,1319,224,1586,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"""leading by example""","""leading by example""","""leading by example""",https://www.linkedin.com/posts/leilahormozi_leading-by-example-activity-7422307512693051392-tZlD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFQtbscBR0jl8XDw0uqbocpzD1eHL7ZCUmc
34,Leila Hormozi,1.1,1314,203,1586,Teacher,Leadership,Personal Perspective,Hook -> Reflection -> Close,,,,https://www.linkedin.com/posts/leilahormozi_activity-7429204180205993985-XPcT?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
35,Leila Hormozi,1.0,1203,315,1570,Teacher,Finance / Money,Thought Leadership,Observation -> Question,The most successful people I know never chase money.,The most successful people I know never chase money.  They chase being useful. Money is a byproduct of value creation. agree?,"The most successful people I know never chase money. 
They chase being useful.
Money is a byproduct of value creation.
agree?",https://www.linkedin.com/posts/leilahormozi_the-most-successful-people-i-know-never-chase-activity-7424489366758133761-nrsY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE9RxIABTzVWAJdUWiMfVOc97D6SdiB2L20
36,Leila Hormozi,1.0,1308,229,1565,Teacher,Leadership,Direct Advice,Hook -> List -> Insight,“How do you deal with being less respected in business because you’re a woman?”,“How do you deal with being less respected in business because you’re a woman?”   A woman asked me this at a conference. I said: “Let me give you two ,"“How do you deal with being less respected in business because you’re a woman?” 

A woman asked me this at a conference. I said: “Let me give you two frames to think with”

1) How do you know that is 100% true? Have you considered there’s a chance because you assume others respect you less it alters YOUR behavior before theirs?

2) Even if that’s true, is it USEFUL? What do you do with this thought? How does it help you? The answer is that it doesn’t help you. Instead, it robs you of your ability to change and grow.

Do people underestimate you?
Think less of you?
Awesome!

You get the opportunity to work harder than others. As a consequence, you will gain more skill and become more skilled. Don’t subscribe to unsubstantiated thoughts that disempower you. Use it as fuel.",https://www.linkedin.com/posts/leilahormozi_how-do-you-deal-with-being-less-respected-activity-7410733710616100864--6BC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
37,Leila Hormozi,1.0,1327,196,1550,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Holding your partner accountable to achieving their full potential is the deepest form of love.,Holding your partner accountable to achieving their full potential is the deepest form of love.,Holding your partner accountable to achieving their full potential is the deepest form of love.,https://www.linkedin.com/posts/leilahormozi_holding-your-partner-accountable-to-achieving-activity-7402395021343436800-U9nk?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjYP_cBgq5oikFRy29mtR2t-BhcVxV6YQw
38,Leila Hormozi,1.0,1235,268,1540,Teacher,Leadership,Direct Advice,Hook -> Punch Line,You become an adult when:,You become an adult when:     You realize everything eventually comes down to your ability to stick with what you said you'd do despite whatever emoti,"You become an adult when: 



You realize everything eventually comes down to your ability to stick with what you said you'd do despite whatever emotions you may feel.",https://www.linkedin.com/posts/leilahormozi_you-become-an-adult-when-you-realize-activity-7429566554670837760-P3My?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
39,Leila Hormozi,1.0,1331,106,1532,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,"""HR is not your friend""","""HR is not your friend""","""HR is not your friend""",https://www.linkedin.com/posts/leilahormozi_hr-is-not-your-friend-activity-7430291349637279745-GCQG?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
40,Leila Hormozi,1.0,1276,194,1502,Teacher,Personal Development,Thought Leadership,Hook -> Punch Line,Some days are just hard.,"Some days are just hard. And nobody knows, or nobody cares. Either way, the reward for a hard day isn’t applause. It’s confidence gained for getting t","Some days are just hard.
And nobody knows, or nobody cares.
Either way, the reward for a hard day isn’t applause.
It’s confidence gained for getting through it like a champ.",https://www.linkedin.com/posts/leilahormozi_journey-to-becoming-a-ceo-activity-7417256715924058114-M6l9?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACduEjUB9RjUluiHlrWu9gJkcoqkDVIC-IE
41,Leila Hormozi,1.0,1268,202,1501,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,fymftp 💅,fymftp 💅,fymftp 💅,https://www.linkedin.com/posts/leilahormozi_fymftp-activity-7423762359300706304-hGJS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFQtbscBR0jl8XDw0uqbocpzD1eHL7ZCUmc
42,Leila Hormozi,0.9,1148,222,1416,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7423394650369110016-AoJg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFQtbscBR0jl8XDw0uqbocpzD1eHL7ZCUmc
43,Leila Hormozi,0.9,1136,238,1399,Teacher,Motherhood / Family,Direct Advice,Hook -> List -> Insight,2026 note for my future self👇🏻,"2026 note for my future self👇🏻 You won’t always feel strong.  You won’t feel ready.  Some days, you’ll want to quit. The motivation won’t be there, th","2026 note for my future self👇🏻
You won’t always feel strong. 
You won’t feel ready.

Some days, you’ll want to quit. The motivation won’t be there, the energy will be low as f*ck, and every excuse to stop will feel COMPLETELY justified.

But here’s what matters. 

Strength isn’t built when it’s easy. It’s not built when you feel good, when everything is lining up perfectly, or when people are watching and cheering you on or even supporting you.

Strength is built in the moments no one sees - the moments when you’re exhausted, when the progress feels it of sight, when the results aren’t coming as fast as you’d like, but you keep going anyway.

It’s built when you choose to show up for yourself even when no one is watching.

Just you.

When no one is clapping.

Just you.

When no one understands how hard it actually is.

Just you.

Those are the moments that separate people who want success from the people who actually earn it. Because at the end of the day, no one is coming to save you. No one is going to force you to do the hard things.

It’s on you to decide that even when you don’t feel like it, even when it’s inconvenient, even when it downright sucks - you’re still going to do what needs to be done.

That’s what real strength is. It’s not about being perfect, it’s about being consistent.

It’s about showing up, over and over and f*cking over again even when the feelings aren’t there.

Because the people who win?

They’re not the ones who always feel like doing the work. They’re just the ones who just f*cking do it anyway.

- leila 💅",https://www.linkedin.com/posts/leilahormozi_2026-note-for-my-future-self-you-won-activity-7412541879013175296-NyKS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
